codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,gentilicio,bandera_url,alcalde,correo_alcalde
76845,Valle Del Cauca,Ulloa,,,,,,,MIGUEL ANTONIO MATEUS BEDOYA,contactenos@ulloa-valle.gov.co
76863,Valle Del Cauca,Versalles,,,,,,,ALBA MARINA GÓMEZ ANGEL,alcaldia@versalles.gov.co
76869,Valle Del Cauca,Vijes,,,,,,,OSCAR FERNANDO MUÑOZ PERLAZA,alcaldia@vijes-valle.gov.co
76890,Valle Del Cauca,Yotoco,,,,,,,LUIS MARIO VALENS BEDOYA,contactenos@yotoco-valle.gov.co
76892,Valle Del Cauca,Yumbo,,,,,,,EDGAR ALEXANDER RUIZ GARCÍA,contactenos@yumbo.gov.co
76895,Valle Del Cauca,Zarzal,,,,,,,ALEXANDER GÓMEZ SALAZAR,alcaldia@zarzal-valle.gov.co
47001,Magdalena,Santa Marta,,,,,,,CARLOS ALBERTO PINEDO CUELLO,atencionalciudadano@santamarta.gov.co
47030,Magdalena,Algarrobo,,,,,,,JUAN PABLO VARGAS ARIAS,contactenos@algarrobo-magdalena.gov.co
47053,Magdalena,Aracataca,,,,,,,LEITER SALGADO PACHECO,alcaldia@aracataca-magdalena.gov.co
47058,Magdalena,Ariguaní,,,,,,,MARÍA PAOLA ÁLVAREZ PUERTA,alcaldia@ariguani-magdalena.gov.co
47161,Magdalena,Cerro de San Antonio,,,,,,,,
47170,Magdalena,Chibolo,,,,,,,ALBERTO ANDRÉS ESCOBAR MORA,despacho@chibolo-magdalena.gov.co
47189,Magdalena,Ciénaga,,,,,,,LUIS ALBERTO FERNÁNDEZ QUINTO,contactenos@cienaga-magdalena.gov.co
47205,Magdalena,Concordia,,,,,,,PEDRO JESÚS OSPINO CASTRO,alcaldia@concordia-magdalena.gov.co
47245,Magdalena,El Banco,,,,,,,RONALD DARÍO FLOREZ SIERRA,alcaldia@elbanco-magdalena.gov.co
47258,Magdalena,El Piñon,,,,,,,LORENA LUZ RADA DE LA HOZ,contactenos@elpiñon-magdalena.gov.co
47268,Magdalena,El Retén,,,,,,,JESÚS ANTONIO GALINDO VAN-STRAHLEN,alcaldia@elreten-magdalena.gov.co
47288,Magdalena,Fundación,,,,,,,LUZ HELENA ANDRADE CAMPO,ventanillaunica@fundacion-magdalena.gov.co
47318,Magdalena,Guamal,,,,,,,JOSÉ LUIS RAMOS GÓMEZ,alcaldia@guamal-magdalena.gov.co
47460,Magdalena,Nueva Granada,,,,,,,JOAQUIN EMILIO ARIZA MUÑOZ,alcaldia@nuevagranada-magdalena.gov.co
47551,Magdalena,Pivijay,,,,,,,JORGE IVAN SALAH ROPAIN,alcaldia@pivijay-magdalena.gov.co
47555,Magdalena,Plato,,,,,,,ARMANDO CAMPUZANO RESTREPO,alcaldia@plato-magdalena.gov.co
47605,Magdalena,Remolino,,,,,,,JOSÉ DAVID ESCORCIA PÉREZ,contactenos@remolino-magdalena.gov.co
47660,Magdalena,Sabanas de San Angel,,,,,,,SHIRLEY PATRICIA PIMIENTA MARTINEZ,despacho@sabanasdesanangel-magdalena.gov.co
47675,Magdalena,Salamina,,,,,,,EDUIN JAVIER PABON CHARRIS,contacto@salamina-caldas.gov.co
47707,Magdalena,Santa Ana,,,,,,,ANIBAL JOSÉ LÓPEZ LÓPEZ,contactenos@santaana-magdalena.gov.co
47745,Magdalena,Sitionuevo,,,,,,,ALFREDO ANTONIO NAVARRO MANGA,contactenos@sitionuevo-magdalena.gov.co
47798,Magdalena,Tenerife,,,,,,,JORGE MIGUEL MERCADO BOTERO,contactenos@tenerife-magdalena.gov.co
47960,Magdalena,Zapayán,,,,,,,FARAK ENRIQUE VIANA ROJANO,alcaldia@zapayan-magdalena.gov.co
44001,La Guajira,Riohacha,,,,,,,GENARO DAVID REDONDO CHOLES,despachoalcalde@riohacha-laguajira.gov.co
44035,La Guajira,Albania,,,,,,,NERA ELOISA ROBLES BONIVENTO,alcaldia@albania-laguajira.gov.co
44078,La Guajira,Barrancas,,,,,,,VICENTE FRANCISCO BERARDINELLI CARILLO,des_alcalde@barrancas-laguajira.gov.co
44090,La Guajira,Dibulla,,,,,,,ALBERTO MONTERO MOLINA,alcaldia@dibulla-laguajira.gov.co
44098,La Guajira,Distracción,,,,,,,JACOB ARNALDO BRITO BRITO,alcaldia@distraccion-laguajira.gov.co
44110,La Guajira,El Molino,,,,,,,RAFAEL HERALDO MANJARREZ APONTE,despacho@elmolino-laguajira.gov.co
44279,La Guajira,Fonseca,,,,,,,MICHER PEREZ FUENTES,alcaldia@fonseca-laguajira.gov.co
44378,La Guajira,Hatonuevo,,,,,,,HASSAN DAVID PALMEZANO ROMERO,alcaldia@hatonuevo-laguajira.gov.co
44420,La Guajira,La Jagua del Pilar,,,,,,,JOSÉ AMIRO MORON NUÑEZ,alcaldia@lajaguadelpilar-laguajira.gov.co
44430,La Guajira,Maicao,,,,,,,MIGUEL FELIPE ARAGÓN GONZÁLEZ,alcaldia@maicao-laguajira.gov.co
44650,La Guajira,San Juan del Cesar,,,,,,,CUBITA ENRIQUE CAMILO URBINA SUAREZ,alcaldia@sanjuandelcesar-laguajira.gov.co
44855,La Guajira,Urumita,,,,,,,MARY LUZ CORRALES MALAGON,contactenos@urumita-guajira.gov.co
44847,La Guajira,Uribia,,,,,,,JAIME LUIS BUITRAGO GARCÍA,contactenos@uribia-laguajira.gov.co
50001,Meta,Villavicencio,,,,,,,ALEXANDER BAQUERO SANABRIA,alcaldia@villavicencio.gov.co
50006,Meta,Acacías,,,,,,,CARLOS JULIO PLATA BECERRA,alcaldia@acacias.gov.co
50110,Meta,Barranca de Upía,,,,,,,FREDY ENRRIQUE CASTRO GÓMEZ,contactenos@barrancadeupia-meta.gov.co
50124,Meta,Cabuyaro,,,,,,,JOSÉ ANDRÉS CASTAÑEDA MARTÍNEZ,contactenos@cabuyaro-meta.gov.co
50150,Meta,Castilla la Nueva,,,,,,,LENITO ELIECER CASTRO CIFUENTES,contactenos@castillalanueva.gov.co
50223,Meta,Cubarral,,,,,,,BRAYHANN CAMILO VELÁSQUEZ SUAREZ,alcaldia@cubarral-meta.gov.co
50226,Meta,Cumaral,,,,,,,JOSÉ ALBEIRO SERNA RESTREPO,contactenos@cumaral-meta.gov.co
50245,Meta,El Calvario,,,,,,,HECTOR YESID RINCÓN VELÁSQUE,alcaldia@elcalvario-meta.gov.co
50251,Meta,El Castillo,,,,,,,DAIMER OTALORA VERA,contactenos@elcastillo-meta.gov.co
50270,Meta,El Dorado,,,,,,,OSCAR OLAYA LÓPEZ,contactenos@eldorado-meta.gov.co
50287,Meta,Fuentedeoro,,,,,,,,
50313,Meta,Granada,,,,,,,JUAN CARLOS MENDOZA RENDON,alcaldia@granada-meta.gov.co
50318,Meta,Guamal,,,,,,,JOSÉ FERNANDO PEÑA RABELO,contactenos@guamal-meta.gov.co
50325,Meta,Mapiripán,,,,,,,CESAR JULIO ARENAS REDONDO,contactenos@mapiripan-meta.gov.co
50330,Meta,Mesetas,,,,,,,CAMILO ANTONIO PULGARIN SUAREZ,contactenos@mesetas-meta.gov.co
50350,Meta,La Macarena,,,,,,,CESAR AUGUSTO SÁNCHEZ CASTILLO,alcaldia@lamacarena-meta.gov.co
50370,Meta,Uribe,,,,,,,DEISON CANTOR RODRÍGUEZ,contactenos@uribe-meta.gov.co
50400,Meta,Lejanías,,,,,,,NICK JEFREE MARTÍNEZ ALBA,contactenos@lejanias-meta.gov.co
50450,Meta,Puerto Concordia,,,,,,,MIRTO ELIO URREA ROLDAN,alcaldia@puertoconcordia-meta.gov.co
50568,Meta,Puerto Gaitán,,,,,,,LUIS CESAR PÉREZ GAITÁN,alcaldia@puertogaitan-meta.gov.co
50573,Meta,Puerto López,,,,,,,PEDRO VIDAL VELANDIA BEJARANO,alcaldia@puertolopez-meta.gov.co
50577,Meta,Puerto Lleras,,,,,,,JEISON ALEXANDER SOSA VALENCIA,alcaldia@puertolleras-meta.gov.co
50590,Meta,Puerto Rico,,,,,,,IVAN ANDRÉS PUENTES MOLINA,contactenos@puertorico-meta.gov.co
50606,Meta,Restrepo,,,,,,,DANI FERNEY LINARES OSPINA,contactenos@restrepo-meta.gov.co
50680,Meta,San Carlos de Guaroa,,,,,,,CARLOS ALBERTO PINEDA RUIZ,contactenos@sancarlosdeguaroa-meta.gov.co
50683,Meta,San Juan de Arama,,,,,,,RICARDO DIAZ RODRÍGUEZ,contactenos@sanjuandearama-meta.gov.co
50686,Meta,San Juanito,,,,,,,CESAR AUGUSTO AYA ROZO,alcaldia@sanjuanito-meta.gov.co
50689,Meta,San Martín,,,,,,,JOHN GERMAN RAMÍREZ HERNÁNDEZ,alcaldia@sanmartin-meta.gov.co
50711,Meta,Vista Hermosa,,,,,,,,
85001,Casanare,Yopal,,,,,,,MARCO TULIO RUIZ RIAÑO,alcaldia@yopal-casanare.gov.co
85010,Casanare,Aguazul,,,,,,,NELSON ENRIQUE CAMACHO CAICEDO,contactenos@aguazul-casanare.gov.co
85015,Casanare,Chameza,,,,,,,BERNARDO PÉREZ FONSECA,contactenos@chameza-casanare.gov.co
85125,Casanare,Hato Corozal,,,,,,,LUDY TATIANA PIRABAN GUTIÉRREZ,despacho@hatocorozal-casanare.gov.co
85136,Casanare,La Salina,,,,,,,REYNALDO EMEL CHAPARRO DIAZ,despacho@lasalina-casanare.gov.co
85139,Casanare,Maní,,,,,,,FERNEY CHAPARRO PERDOMO,contactenos@mani-casanare.gov.co
85162,Casanare,Monterrey,,,,,,,HUGO ALEJANDRO BALLESTEROS RIVERA,alcaldia@monterrey-casanare.gov.co
85225,Casanare,Nunchía,,,,,,,YEISON ROMALDO GUICON BARRERA,alcaldia@nunchia-casanare.gov.co
85230,Casanare,Orocué,,,,,,,ANDERSON SALVADOR BERNAL TELLO,alcaldia@orocue-casanare.gov.co
85250,Casanare,Paz de Ariporo,,,,,,,JORGE CAMILO ABRIL TARACHE,contactenos@pazdeariporo-casanare.gov.co
85263,Casanare,Pore,,,,,,,JORGE EZEQUIEL GARZÓN,alcaldia@pore-casanare.gov.co
85279,Casanare,Recetor,,,,,,,DIEGO ALBERTO PEÑA CRUZ,contactenos@recetor-casanare.gov.co
85300,Casanare,Sabanalarga,,,,,,,CARLOS EFRÉN ESPINOSA BERNAL,alcaldia@sabanalarga-casanare.gov.co
85315,Casanare,Sácama,,,,,,,FREDY YOVANI AVELLANEDA LIZARAZO,alcaldia@sacama-casanare.gov.co
85325,Casanare,San Luis de Palenque,,,,,,,EDIBER VÁSQUEZ RINCÓN,gobierno@sanluisdepalenque-casanare.gov.co
85400,Casanare,Támara,,,,,,,WILLIAM FERNANDO FORERO BENÍTEZ,contactenos@tamara-casanare.gov.co
85410,Casanare,Tauramena,,,,,,,JAVIER AUGUSTO ÁLVAREZ ALFONSO,despachoalcalde@tauramena-casanare.gov.co
85430,Casanare,Trinidad,,,,,,,DAMARIS ABRIL FUENTES,alcaldia@trinidad-casanare.gov.co
85440,Casanare,Villanueva,,,,,,,HÉCTOR FERNANDO VIZCAINO CAGUEÑO,alcaldia@villanueva-casanare.gov.co
91001,Amazonas,Leticia,,,,,,,ELQUIN JADRIAN UNI HEREDIA,alcaldia@leticia-amazonas.gov.co
91263,Amazonas,El Encanto,,,,,,,,
91405,Amazonas,La Chorrera,,,,,,,,
91407,Amazonas,La Pedrera,,,,,,,,
91430,Amazonas,La Victoria,,,,,,,,
91460,Amazonas,Mirití-Paraná,,,,,,,,
91530,Amazonas,Puerto Alegría,,,,,,,,
91536,Amazonas,Puerto Arica,,,,,,,,
91540,Amazonas,Puerto Nariño,,,,,,,EDILBERTO SUAREZ PINTO,despachoalcalde@puertonarino-amazonas.gov.co
91669,Amazonas,Puerto Santander,,,,,,,,
91798,Amazonas,Tarapacá,,,,,,,,
95001,Guaviare,San José del Guaviare,,,,,,,WILLY ALEJANDRO RODRÍGUEZ ROJAS,contactenos@sanjosedelguaviare-guaviare.gov.co
95015,Guaviare,Calamar,,,,,,,FARID CAMILO CASTAÑO GARCIA,contactenos@calamar-guaviare.gov.co
95025,Guaviare,El Retorno,,,,,,,JHONNY JAIBER CASANOVA LÓPEZ,contactenos@elretorno-guaviare.gov.co
95200,Guaviare,Miraflores,,,,,,,EDWIN IOVANNI DIAZ,despacho@miraflores-guaviare.gov.co
97001,Vaupés,Mitú,,,,,,,MARCO ALIRIO PORRAS PÉREZ,alcaldia@mitu-vaupes.gov.co
97161,Vaupés,Caruru,,,,,,,JOSÉ ANTONIO FANDIÑO RODRÍGUEZ,contactenos@caruru-vaupes.gov.co
97511,Vaupés,Pacoa,,,,,,,,
97666,Vaupés,Taraira,,,,,,,HAROLD ANDRÉS CORRALES,contactenos@taraira-vaupes.gov.co
97889,Vaupés,Yavaraté,,,,,,,,
99001,Vichada,Puerto Carreño,,,,,,,JAIME ARIEL RODRÍGUEZ GUZMÁN,contactenos@puertocarreno-vichada.gov.co
99773,Vichada,Cumaribo,,,,,,,ARMEL CARACAS VIVEROS,contactenos@cumaribo-vichada.gov.co
99524,Vichada,La Primavera,,,,,,,LUIS EDUARDO ROJAS HERRERA,alcaldia@laprimavera-vichada.gov.co
99624,Vichada,Santa Rosalía,,,,,,,ESNEIDER FABIAN MARULANDA LÓPEZ,contactenos@santarosalia-vichada.gov.co
99889,Vichada,La Guadalupe,,,,,,,,
05145,Antioquia,Caramanta,,,,,,,JUAN ESTEBAN CORREA CÁRDENAS,alcaldia@caramanta-antioquia.gov.co
05150,Antioquia,Carolina,,,,,,,ANA ISABEL AVENDAÑO DUQUE,contactenos@carolinadelprincipe-antioquia.gov.co
05101,Antioquia,Ciudad Bolívar,,,,,,,LEÓN DARÍO ACEVEDO VARGAS,alcaldia@ciudadbolivar-antioquia.gov.co
05209,Antioquia,Concordia,,,,,,,ALEXANDRA MARÍA HERRERA QUIJANO,alcaldia@concordia-antioquia.gov.co
05212,Antioquia,Copacabana,,,,,,,JOHNNATAN ANDRÉS PINEDA AGUDELO,alcaldia@copacabana.gov.co
05237,Antioquia,Don Matías,,,,,,,JAVIER DARÍO LÓPEZ RESTREPO,alcaldia@donmatias-antioquia.gov.co
05240,Antioquia,Ebéjico,,,,,,,DAVID ALONSO RESTREPO CASTRILLÓN,alcaldia@ebejico-antioquia.gov.co
05282,Antioquia,Fredonia,,,,,,,ALDUBAR DE JESÚS VANEGAS MARÍN,alcaldia@fredonia-antioquia.gov.co
05284,Antioquia,Frontino,,,,,,,LUZ GABRIELA RIVERA CANO,alcaldia@frontino-antioquia.gov.co
05306,Antioquia,Giraldo,,,,,,,MARÍA CAMILA MANCO SUAREZ,contactenos@giraldo-antioquia.gov.co
05308,Antioquia,Girardota,,,,,,,KEVIN RENE BERNAL MORALES,contactenos@girardota.gov.co
05310,Antioquia,Gómez Plata,,,,,,,LUIS GUILLERMO PÉREZ ECHEVERRI,contactenos@gomezplata-antioquia.gov.co
05313,Antioquia,Granada,,,,,,,DANIEL ANDRÉS HOYOS YEPES,alcalde@granada-antioquia.gov.co
05315,Antioquia,Guadalupe,,,,,,,JOSÉ FERNANDO SALAZAR OSPINA,alcaldia@guadalupe-antioquia.gov.co
05318,Antioquia,Guarne,,,,,,,DIEGO MAURICIO GRISALES GALLEGO,alcaldia@guarne-antioquia.gov.co
05321,Antioquia,Guatapé,,,,,,,DAVID ESTEBAN FRANCO VALLEJO,alcaldia@guatape-antioquia.gov.co
05347,Antioquia,Heliconia,,,,,,,JORGE ALEXANDER ÁLVAREZ ARANGO,alcaldia@heliconia-antioquia.gov.co
05353,Antioquia,Hispania,,,,,,,ORLANDO ARTURO MARÍN ATEHORTÚA,hacienda@hispania-antioquia.gov.co
05360,Antioquia,Itagui,,,,,,,DIEGO LEÓN TORRES SÁNCHEZ,contactenos@itagui.gov.co
05361,Antioquia,Ituango,,,,,,,JAVIER DE JESÚS PARIAS POSSO,alcaldia@ituango-antioquia.gov.co
05364,Antioquia,Jardín,,,,,,,CLAUDIA YANETH NARANJO AGUDELO,alcaldia@eljardin-antioquia.gov.co
05368,Antioquia,Jericó,,,,,,,SEBASTIÁN GARCES PIEDRAHITA,alcaldia@jerico-antioquia.gov.co
05376,Antioquia,La Ceja,,,,,,,MARÍA ILBED SANTA SANTA,alcaldia@laceja-antioquia.gov.co
05380,Antioquia,La Estrella,,,,,,,CARLOS MARIO GUTIERREZ ARRUBLA,alcalde@laestrella.gov.co
05390,Antioquia,La Pintada,,,,,,,HERMAN ANTONIO CORREA BEDOYA,alcaldia@lapintada-antioquia.gov.co
05400,Antioquia,La Unión,,,,,,,CARMEN JUDITH VALENCIA MORENO,alcaldia@launion-antioquia.gov.co
05411,Antioquia,Liborina,,,,,,,NANCY AMPARO AVENDAÑO MORENO,contactenos@liborina-antioquia.gov.co
05425,Antioquia,Maceo,,,,,,,CAROLINA ANDREA SOSA GÓMEZ,alcaldia@maceo-antioquia.gov.co
05440,Antioquia,Marinilla,,,,,,,JULIO CESAR SERNA GÓMEZ,alcaldia@marinilla-antioquia.gov.co
05467,Antioquia,Montebello,,,,,,,OSCAR ERNESTO CUERVO VILLADA,alcaldia@montebello-antioquia.gov.co
05475,Antioquia,Murindó,,,,,,,EMPERATRIZ MENA PALACIO,alcaldia@murindo-antioquia.gov.co
05480,Antioquia,Mutatá,,,,,,,JAIRO ENRIQUE ORTIZ PALACIOS,alcaldia@mutata-antioquia.gov.co
05483,Antioquia,Nariño,,,,,,,ERIKA CARDONA PÉREZ,despachoalcalde@narino-antioquia.gov.co
05495,Antioquia,Nechí,,,,,,,YUMARIS PATRICIA HENRÍQUEZ BANQUET,gobierno@nechi-antioquia.gov.co
05490,Antioquia,Necoclí,,,,,,,GUILLERMO JOSÉ CARDONA MORENO,contactenos@necocli-antioquia.gov.co
05501,Antioquia,Olaya,,,,,,,JESÚS DAVID HERNÁNDEZ LONDOÑO,alcaldia@olaya-antioquia.gov.co
05541,Antioquia,Peñol,,,,,,,SANDRA ARELIS DUQUE VELÁSQUEZ,alcaldia@elpenol-antioquia.gov.co
05543,Antioquia,Peque,,,,,,,ERMILSON DE JESÚS HERNÁNDEZ HERNÁNDEZ,gobierno@peque-antioquia.gov.co
05576,Antioquia,Pueblorrico,,,,,,,CRISTIAN CAMILO ZAPATA RAMÍREZ,alcaldia@pueblorrico-antioquia.gov.co
05579,Antioquia,Puerto Berrío,,,,,,,ROBINSON ALBERTO BAENA ZULUAGA,alcaldia@puertoberrio-antioquia.gov.co
05585,Antioquia,Puerto Nare,,,,,,,JUAN CARLOS ACEVEDO ÁLZATE,contactenos@puertonare-antioquia.gov.co
05591,Antioquia,Puerto Triunfo,,,,,,,FRANKLIN PORTILLO GÓMEZ,alcaldia@puertotriunfo-antioquia.gov.co
05604,Antioquia,Remedios,,,,,,,ALBEIRO ARENAS MOLINA,contactenos@remedios-antioquia.gov.co
05607,Antioquia,Retiro,,,,,,,SANTIAGO MONTOYA GIRALDO,alcaldia@elretiro-antioquia.gov.co
05615,Antioquia,Rionegro,,,,,,,JORGE HUMBERTO RIVAS URREA,alcaldia@rionegro.gov.co
05628,Antioquia,Sabanalarga,,,,,,,CESAR ALONSO CUADROS GEORGE,contactenos@sabanalarga-antioquia.gov.co
05631,Antioquia,Sabaneta,,,,,,,ALDER JAMES CRUZ OCAMPO,alcaldia@sabaneta.gov.co
05642,Antioquia,Salgar,,,,,,,VÍCTOR RAÚL MAYA CEBALLOS,alcaldia@salgar-antioquia.gov.co
05647,Antioquia,San Andrés de Cuerquía,,,,,,,JOSÉ FERNANDO CHAVARRIA CHAVARRIA,alcaldia@sanandresdecuerquia-antioquia.gov.co
05649,Antioquia,San Carlos,,,,,,,SANTIAGO DAZA ESPINOSA,alcaldia@sancarlos-antioquia.gov.co
05652,Antioquia,San Francisco,,,,,,,ARTURO ALEXANDER ARIAS DUQUE,alcaldia@sanfrancisco-antioquia.gov.co
05656,Antioquia,San Jerónimo,,,,,,,DONALDO FERNAN VIVARES GALLEGO,alcaldia@sanjeronimo-antioquia.gov.co
05658,Antioquia,San José de La Montaña,,,,,,,JULIAN ANDRÉS GONZÁLEZ POSADA,contactenos@sanjosedelamontana-antioquia.gov.co
05659,Antioquia,San Juan de Urabá,,,,,,,JULIA ESPERANZA MEDRANO COA,contactenos@sanjuandeuraba-antioquia.gov.co
05660,Antioquia,San Luis,,,,,,,CESAR ABAD BUITRAGO ARIAS,alcaldia@sanluis-antioquia.gov.co
05664,Antioquia,San Pedro,,,,,,,,
05665,Antioquia,San Pedro de Uraba,,,,,,,NEVER JACINTO CARVAJAL MIRANDA,alcaldia@sanpedrodeuraba-antioquia.gov.co
05667,Antioquia,San Rafael,,,,,,,EDUIN ANICETO GIRALDO QUINTANA,alcaldia@sanrafael-antioquia.gov.co
05670,Antioquia,San Roque,,,,,,,LUIS ALEJANDRO VILLEGAS CANO,contactenos@sanroque-antioquia.gov.co
05674,Antioquia,San Vicente,,,,,,,NELSON DE JESÚS HENAO ZAPATA,alcaldia@sanvicente-antioquia.gov.co
05679,Antioquia,Santa Bárbara,,,,,,,JORGE MARIO QUINTANA CAÑAVERAL,contactenos@santabarbara-antioquia.gov.co
05686,Antioquia,Santa Rosa de Osos,,,,,,,LUIS BERNARDO MOLINA GRANDA,contacto@santarosadeosos.gov.co
05690,Antioquia,Santo Domingo,,,,,,,FABIO IGNACIO MIRA VALENCIA,contactenos@santodomingo-antioquia.gov.co
05736,Antioquia,Segovia,,,,,,,EDWIN ALEXANDER CASTAÑEDA VAHOS,alcaldia@segovia-antioquia.gov.co
05756,Antioquia,Sonson,,,,,,,JUAN DIEGO ZULUAGA PULGARIN,alcalde@sonson-antioquia.gov.co
05761,Antioquia,Sopetrán,,,,,,,TATIANA ALEXANDRA CARBALLO HOYOS,alcaldia@sopetran-antioquia.gov.co
05789,Antioquia,Támesis,,,,,,,JUAN PABLO PÉREZ RAMÍREZ,alcaldia@tamesis-antioquia.gov.co
05790,Antioquia,Tarazá,,,,,,,YOMER FABIAN ÁLVAREZ CORREA,contactenos@taraza-antioquia.gov.co
05792,Antioquia,Tarso,,,,,,,HUGO ALEXANDER OCAMPO RIOS,gobierno@tarso-antioquia.gov.co
05809,Antioquia,Titiribí,,,,,,,ALEX DAVID RESTREPO SALAZAR,alcaldia@titiribi-antioquia.gov.co
05819,Antioquia,Toledo,,,,,,,JHONNY ALBERTO MARÍN MUÑETON,alcaldia@toledo-antioquia.gov.co
05837,Antioquia,Turbo,,,,,,,ALEJANDRO ABUCHAR GONZÁLEZ,alcalde@turbo-antioquia.gov.co
05842,Antioquia,Uramita,,,,,,,LEONARDO ÚSUGA CORREA,alcaldia@uramita-antioquia.gov.co
05847,Antioquia,Urrao,,,,,,,NILSON JAVIER BARRERA HOLGUIN,alcalde@urrao-antioquia.gov.co
05854,Antioquia,Valdivia,,,,,,,CARLOS DANOBER MOLINA BETANCUR,alcaldia@valdivia-antioquia.gov.co
05856,Antioquia,Valparaíso,,,,,,,JOSÉ MARIO HERNÁNDEZ DEVIA,alcaldia@valparaiso-antioquia.gov.co
05858,Antioquia,Vegachí,,,,,,,JOSÉ MARÍA OCHOA MUÑOZ,alcaldia@vegachi-antioquia.gov.co
05861,Antioquia,Venecia,,,,,,,FERNEY DARÍO FERNANDEZ,alcaldia@venecia-antioquia.gov.co
05873,Antioquia,Vigía del Fuerte,,,,,,,JHOSELIN LOZANO MENA,contactenos@vigiadelfuerte-antioquia.gov.co
05885,Antioquia,Yalí,,,,,,,JHON JAIRO GIRALDO POSADA,alcaldia@yali-antioquia.gov.co
05887,Antioquia,Yarumal,,,,,,,CRISTIAN DAVID CESPEDES CORREA,alcaldia@yarumal.gov.co
05890,Antioquia,Yolombó,,,,,,,JESÚS AMADOR PÉREZ PALACIO,gobierno@yolombo-antioquia.gov.co
05893,Antioquia,Yondó,,,,,,,YERSON ANTONIO ARIZA RIVERA,alcaldia@yondo-antioquia.gov.co
05895,Antioquia,Zaragoza,,,,,,,ANDRÉS EMILIO LUJAN MONROY,contactenos@zaragoza-antioquia.gov.co
81001,Arauca,Arauca,,,,,,,JUAN ALFREDO QUENZA RAMOS,alcalde@arauca-arauca.gov.co
81065,Arauca,Arauquita,,,,,,,LUIS FERNANDO PANQUEVA TORRES,despacho@arauquita-arauca.gov.co
81220,Arauca,Cravo Norte,,,,,,,NILSON NORFAIDE CASTILLO CISNEROS,alcaldia@cravonorte-arauca.gov.co
81300,Arauca,Fortul,,,,,,,FREDY GARCÍA HERNÁNDEZ,alcaldia@fortul-arauca.gov.co
81591,Arauca,Puerto Rondón,,,,,,,HENRY ARLEY GALLARDO LÓPEZ,alcaldia@puertorondon-arauca.gov.co
81736,Arauca,Saravena,,,,,,,JUAN IGNACIO CIFUENTES SANTOS,alcaldia@saravena-arauca.gov.co
81794,Arauca,Tame,,,,,,,MIGUEL ÁNGEL BASTOS MORALES,alcaldia@tame-arauca.gov.co
88564,Archipiélago De San Andrés,Providencia,,,,,,,,
08078,Atlántico,Baranoa,,,,,,,EDINSON JOSÉ PALMA JIMÉNEZ,contactenos@baranoa-atlantico.gov.co
08137,Atlántico,Campo de La Cruz,,,,,,,VANESSA ELVIA TORRES GUETTE,contactenos@campodelacruz-atlantico.gov.co
08141,Atlántico,Candelaria,,,,,,,HAYDER ALEXANDER OROZCO SOLANO,contactenos@candelaria-atlantico.gov.co
08296,Atlántico,Galapa,,,,,,,FABIAN ALBERTO BONETT BERDUGO,contactenos@galapa-atlantico.gov.co
08372,Atlántico,Juan de Acosta,,,,,,,CARLOS FIDEL HIGGINS MOLINA,alcaldia@juandeacosta-atlantico.gov.co
08421,Atlántico,Luruaco,,,,,,,AMETH JUAN HANNA,ventanillaunica@luruaco-atlantico.gov.co
08433,Atlántico,Malambo,,,,,,,YENIS OROZCO BONETT,contactenos@malambo-atlantico.gov.co
08436,Atlántico,Manatí,,,,,,,YENERYS MARÍA ACUÑA CERVANTES,contactenos@manati-atlantico.gov.co
08520,Atlántico,Palmar de Varela,,,,,,,JOSÉ JUNIOR RUA FONTALVO,contactenos@palmardevarela-atlantico.gov.co
08549,Atlántico,Piojó,,,,,,,FERNANDO RAFAEL TEJERA GONZALEZ,contactenos@piojo-atlantico.gov.co
08558,Atlántico,Polonuevo,,,,,,,OSCAR JAVIER AVILEZ OLIVA,contactenos@polonuevo-atlantico.gov.co
08560,Atlántico,Ponedera,,,,,,,ARISTARCO ROMERO MERIÑO,alcaldia@ponedera-atlantico.gov.co
08573,Atlántico,Puerto Colombia,,,,,,,PLINIO EDGAR CEDEÑO GÓMEZ,contactenos@puertocolombia-atlantico.gov.co
08606,Atlántico,Repelón,,,,,,,JORGE ELIECER REALES MARTINEZ,contactenos@repelon-atlantico.gov.co
08634,Atlántico,Sabanagrande,,,,,,,DARWIN ALEXANDER ROSALES MORA,alcaldia@sabanagrande-atlantico.gov.co
08638,Atlántico,Sabanalarga,,,,,,,JOSÉ ELÍAS CHAMS CHAMS,contactenos@sabanalarga-atlantico.gov.co
08675,Atlántico,Santa Lucía,,,,,,,EDWARD ECKER MARTINEZ,despacho@santalucia-atlantico.gov.co
08685,Atlántico,Santo Tomás,,,,,,,PAULA HUN BADILLO,alcaldia@santotomas-atlantico.gov.co
08758,Atlántico,Soledad,,,,,,,ALCIRA PAOLA SANDOVAL IBAÑEZ,alcalde@soledad-atlantico.gov.co
08770,Atlántico,Suan,,,,,,,KAROLAY CALVO RIVERA,despacho@suan-atlantico.gov.co
08832,Atlántico,Tubará,,,,,,,NATKING COLL ALBA,alcaldia@tubara-atlantico.gov.co
08849,Atlántico,Usiacurí,,,,,,,JULIO MARIO CALDERON PADILLA,contactenos@usiacuri-atlantico.gov.co
13006,Bolívar,Achí,,,,,,,DAINER JOSÉ GUZMÁN CARE,alcaldia@achi-bolivar.gov.co
